Reference Code,Date,Time,Description,Dr.,Cr.,Status,Balance (NPR),Channel,Category
0D6RXCD,2025-10-20,00:00:00,Tuition fee for Edusanjal,810.18,0.0,COMPLETE,1768.99,THIRDPARTY,Education
U7VAX6S,2025-09-18,00:00:00,Paid for Online Class - Kullabs,751.35,0.0,COMPLETE,7958.66,App,Education
OGNO7U2,2025-09-23,00:00:00,Payment for eLearning Course,2804.79,0.0,COMPLETE,5166.96,App,Education
CRXHBH0,2025-10-12,00:00:00,Tuition fee for Edusanjal,2853.25,0.0,COMPLETE,629.57,THIRDPARTY,Education
BTV3K50,2025-09-18,00:00:00,Tuition fee for Edusanjal,4912.51,0.0,COMPLETE,9216.68,THIRDPARTY,Education
Y07UJDO,2025-09-24,00:00:00,Paid for Online Class - Kullabs,444.18,0.0,COMPLETE,2385.99,Linked Esewa Payment,Education
K20BH2W,2025-09-09,00:00:00,Tuition fee for Edusanjal,2002.39,0.0,COMPLETE,5645.69,App,Education
P3SBU12,2025-09-01,00:00:00,Paid for Online Class - Kullabs,3044.27,0.0,COMPLETE,1924.14,THIRDPARTY,Education
LKLQURI,2025-10-25,00:00:00,Paid for Online Class - Kullabs,1749.42,0.0,COMPLETE,8240.18,App,Education
1BS4TGC,2025-09-29,00:00:00,Payment for eLearning Course,2723.08,0.0,COMPLETE,2302.92,Linked Esewa Payment,Education
HD0MAXX,2025-10-15,00:00:00,Payment for eLearning Course,108.9,0.0,COMPLETE,4396.88,App,Education
1N60XWW,2025-09-23,00:00:00,Paid for Online Class - Kullabs,3692.31,0.0,COMPLETE,5002.95,App,Education
BM7FP4C,2025-09-03,00:00:00,Tuition fee for Edusanjal,522.01,0.0,COMPLETE,6177.47,THIRDPARTY,Education
H4WPZN7,2025-10-23,00:00:00,Paid for Online Class - Kullabs,1771.15,0.0,COMPLETE,9574.15,Linked Esewa Payment,Education
GQUAMFC,2025-09-19,00:00:00,Tuition fee for Edusanjal,2617.74,0.0,COMPLETE,667.63,Linked Esewa Payment,Education
Z2KJX6I,2025-10-28,00:00:00,Tuition fee for Edusanjal,3602.76,0.0,COMPLETE,8522.28,Linked Esewa Payment,Education
83PIXUK,2025-09-01,00:00:00,Paid for Online Class - Kullabs,2773.88,0.0,COMPLETE,3487.62,Linked Esewa Payment,Education
C5T3Z5R,2025-09-02,00:00:00,Tuition fee for Edusanjal,1278.7,0.0,COMPLETE,9059.87,THIRDPARTY,Education
XILVFRV,2025-10-25,00:00:00,Payment for eLearning Course,138.67,0.0,COMPLETE,833.37,App,Education
MTCZWSY,2025-10-29,00:00:00,Paid for Online Class - Kullabs,4973.47,0.0,COMPLETE,5691.42,THIRDPARTY,Education
EXTJBTA,2025-09-22,00:00:00,Paid for Online Class - Kullabs,396.57,0.0,COMPLETE,5643.17,THIRDPARTY,Education
RNF76WX,2025-10-16,00:00:00,Payment for eLearning Course,3812.22,0.0,COMPLETE,4896.25,App,Education
79EOD1O,2025-10-10,00:00:00,Paid for Online Class - Kullabs,1003.23,0.0,COMPLETE,697.7,Linked Esewa Payment,Education
XZOOZF9,2025-09-06,00:00:00,Tuition fee for Edusanjal,4629.66,0.0,COMPLETE,3252.71,THIRDPARTY,Education
APVQCTW,2025-10-27,00:00:00,Paid for Online Class - Kullabs,1509.92,0.0,COMPLETE,4299.2,Linked Esewa Payment,Education
QH8HN0I,2025-10-01,00:00:00,Paid for Online Class - Kullabs,531.69,0.0,COMPLETE,7645.34,THIRDPARTY,Education
YO1NJJL,2025-10-03,00:00:00,Paid for Online Class - Kullabs,3197.47,0.0,COMPLETE,6518.68,Linked Esewa Payment,Education
DC67KJA,2025-10-09,00:00:00,Paid for Online Class - Kullabs,2151.37,0.0,COMPLETE,2400.12,Linked Esewa Payment,Education
SP5O13E,2025-10-03,00:00:00,Payment for eLearning Course,4575.88,0.0,COMPLETE,6707.75,THIRDPARTY,Education
MJV1X3P,2025-09-11,00:00:00,Payment for eLearning Course,4832.24,0.0,COMPLETE,3850.0,THIRDPARTY,Education
5S1WNKJ,2025-10-01,00:00:00,Paid for Online Class - Kullabs,3725.21,0.0,COMPLETE,9406.66,Linked Esewa Payment,Education
JU5MQHY,2025-10-10,00:00:00,Payment for eLearning Course,418.15,0.0,COMPLETE,6697.09,App,Education
AE32SVV,2025-09-19,00:00:00,Paid for Online Class - Kullabs,2262.24,0.0,COMPLETE,5752.68,App,Education
HZMN61G,2025-09-24,00:00:00,Paid for Online Class - Kullabs,4442.01,0.0,COMPLETE,1893.05,THIRDPARTY,Education
OJV3HGF,2025-10-12,00:00:00,Tuition fee for Edusanjal,670.67,0.0,COMPLETE,5911.48,App,Education
7CXD2RQ,2025-09-30,00:00:00,Tuition fee for Edusanjal,4066.74,0.0,COMPLETE,5880.08,Linked Esewa Payment,Education
X2C73GH,2025-09-02,00:00:00,Paid for Online Class - Kullabs,645.28,0.0,COMPLETE,7377.98,Linked Esewa Payment,Education
LK4HXG2,2025-10-02,00:00:00,Paid for Online Class - Kullabs,2405.81,0.0,COMPLETE,4167.7,Linked Esewa Payment,Education
3N9LU4H,2025-09-17,00:00:00,Paid for Online Class - Kullabs,1334.01,0.0,COMPLETE,2215.17,Linked Esewa Payment,Education
00UNX4O,2025-09-23,00:00:00,Tuition fee for Edusanjal,1206.83,0.0,COMPLETE,7028.39,Linked Esewa Payment,Education
H5UWVL6,2025-10-14,00:00:00,Paid for Online Class - Kullabs,4196.03,0.0,COMPLETE,542.04,THIRDPARTY,Education
LVYY7VB,2025-09-25,00:00:00,Payment for eLearning Course,825.41,0.0,COMPLETE,3653.34,App,Education
GKDPZSZ,2025-10-08,00:00:00,Paid for Online Class - Kullabs,724.27,0.0,COMPLETE,6765.69,Linked Esewa Payment,Education
I09PWNS,2025-09-27,00:00:00,Payment for eLearning Course,2585.14,0.0,COMPLETE,7581.76,App,Education
PXIQC3J,2025-10-25,00:00:00,Paid for Online Class - Kullabs,2843.46,0.0,COMPLETE,9631.6,App,Education
ECCJSTJ,2025-09-26,00:00:00,Payment for eLearning Course,3265.67,0.0,COMPLETE,370.28,Linked Esewa Payment,Education
Q0HSGR3,2025-10-28,00:00:00,Tuition fee for Edusanjal,628.31,0.0,COMPLETE,6490.33,App,Education
CZX35NQ,2025-09-21,00:00:00,Tuition fee for Edusanjal,2443.69,0.0,COMPLETE,3349.09,App,Education
SQAAR79,2025-10-26,00:00:00,Paid for Online Class - Kullabs,1109.87,0.0,COMPLETE,7729.48,THIRDPARTY,Education
BOA7GNR,2025-10-10,00:00:00,Payment for eLearning Course,3319.45,0.0,COMPLETE,7236.27,Linked Esewa Payment,Education
1IMGEID,2025-09-12,00:00:00,Tuition fee for Edusanjal,1034.58,0.0,COMPLETE,3100.16,Linked Esewa Payment,Education
FQH4L80,2025-10-31,00:00:00,Tuition fee for Edusanjal,3529.69,0.0,COMPLETE,222.84,App,Education
8ARXBI6,2025-09-01,00:00:00,Payment for eLearning Course,911.4,0.0,COMPLETE,5814.33,Linked Esewa Payment,Education
R1EP0BG,2025-10-08,00:00:00,Payment for eLearning Course,4987.21,0.0,COMPLETE,3212.85,THIRDPARTY,Education
NXN7LTC,2025-09-08,00:00:00,Paid for Online Class - Kullabs,59.33,0.0,COMPLETE,2248.22,App,Education
P7EJWAJ,2025-09-28,00:00:00,Payment for eLearning Course,3186.59,0.0,COMPLETE,8305.92,Linked Esewa Payment,Education
H4H2O4I,2025-09-18,00:00:00,Payment for eLearning Course,442.84,0.0,COMPLETE,5846.06,App,Education
N58V1QR,2025-10-15,00:00:00,Paid for Online Class - Kullabs,1854.8,0.0,COMPLETE,1453.18,THIRDPARTY,Education
D97L92Q,2025-10-25,00:00:00,Tuition fee for Edusanjal,2519.01,0.0,COMPLETE,3886.37,Linked Esewa Payment,Education
HOI8RQ5,2025-10-12,00:00:00,Tuition fee for Edusanjal,4800.75,0.0,COMPLETE,5319.76,Linked Esewa Payment,Education
9A2WH7G,2025-09-12,00:00:00,Paid for Online Class - Kullabs,1508.29,0.0,COMPLETE,1154.47,Linked Esewa Payment,Education
4QRQUO4,2025-10-31,00:00:00,Paid for Online Class - Kullabs,3475.65,0.0,COMPLETE,7508.16,Linked Esewa Payment,Education
79HY9EJ,2025-09-12,00:00:00,Paid for Online Class - Kullabs,3445.32,0.0,COMPLETE,3659.67,App,Education
W1W7KQM,2025-09-26,00:00:00,Paid for Online Class - Kullabs,374.73,0.0,COMPLETE,6637.08,App,Education
X86WCOD,2025-10-20,00:00:00,Tuition fee for Edusanjal,1579.09,0.0,COMPLETE,5080.56,THIRDPARTY,Education
TXIG0NU,2025-09-10,00:00:00,Tuition fee for Edusanjal,1345.15,0.0,COMPLETE,3529.78,Linked Esewa Payment,Education
IIEG5NU,2025-09-16,00:00:00,Tuition fee for Edusanjal,642.26,0.0,COMPLETE,2591.78,THIRDPARTY,Education
XCSXAMR,2025-10-18,00:00:00,Payment for eLearning Course,3924.51,0.0,COMPLETE,626.31,THIRDPARTY,Education
9G090F2,2025-10-08,00:00:00,Paid for Online Class - Kullabs,4498.45,0.0,COMPLETE,636.68,App,Education
YSN0E6X,2025-09-09,00:00:00,Tuition fee for Edusanjal,2674.09,0.0,COMPLETE,6889.79,THIRDPARTY,Education
8RE6UTR,2025-10-24,00:00:00,Paid for Online Class - Kullabs,3170.57,0.0,COMPLETE,3117.81,THIRDPARTY,Education
VP558KU,2025-10-04,00:00:00,Tuition fee for Edusanjal,1011.68,0.0,COMPLETE,1696.09,THIRDPARTY,Education
TH6GZT1,2025-09-10,00:00:00,Paid for Online Class - Kullabs,4982.36,0.0,COMPLETE,9100.56,Linked Esewa Payment,Education
ILM8FTY,2025-10-27,00:00:00,Paid for Online Class - Kullabs,1715.56,0.0,COMPLETE,1477.91,App,Education
UIRF51C,2025-10-28,00:00:00,Paid for Online Class - Kullabs,1952.28,0.0,COMPLETE,5432.99,THIRDPARTY,Education
HSKE1J5,2025-10-24,00:00:00,Payment for eLearning Course,3681.64,0.0,COMPLETE,1398.18,App,Education
L99ULMJ,2025-09-30,00:00:00,Payment for eLearning Course,293.84,0.0,COMPLETE,684.85,App,Education
5V2ZH38,2025-09-09,00:00:00,Tuition fee for Edusanjal,3980.31,0.0,COMPLETE,2228.92,THIRDPARTY,Education
3JD0D6V,2025-10-05,00:00:00,Paid for Online Class - Kullabs,4297.37,0.0,COMPLETE,7485.18,App,Education
VM4XT5J,2025-10-30,00:00:00,Paid for Online Class - Kullabs,1936.37,0.0,COMPLETE,1617.79,Linked Esewa Payment,Education
IMGLT3D,2025-10-11,00:00:00,Tuition fee for Edusanjal,1018.26,0.0,COMPLETE,1424.41,THIRDPARTY,Education
U817JKD,2025-10-10,00:00:00,Payment for eLearning Course,1682.48,0.0,COMPLETE,2926.25,Linked Esewa Payment,Education
0I6C8VN,2025-10-23,00:00:00,Payment for eLearning Course,3854.65,0.0,COMPLETE,9554.58,THIRDPARTY,Education
QCIRGWO,2025-09-22,00:00:00,Tuition fee for Edusanjal,2621.85,0.0,COMPLETE,2320.51,THIRDPARTY,Education
27PCBOS,2025-10-09,00:00:00,Tuition fee for Edusanjal,4647.59,0.0,COMPLETE,3948.34,THIRDPARTY,Education
7FKDDOC,2025-10-06,00:00:00,Payment for eLearning Course,3212.84,0.0,COMPLETE,2518.72,Linked Esewa Payment,Education
X7IPCX8,2025-09-25,00:00:00,Paid for Online Class - Kullabs,1818.07,0.0,COMPLETE,4131.78,Linked Esewa Payment,Education
HIWVXV7,2025-10-09,00:00:00,Tuition fee for Edusanjal,2903.85,0.0,COMPLETE,4408.86,Linked Esewa Payment,Education
SW1693L,2025-09-02,00:00:00,Payment for eLearning Course,4160.85,0.0,COMPLETE,1403.11,App,Education
CHMQ2LD,2025-10-31,00:00:00,Tuition fee for Edusanjal,4129.88,0.0,COMPLETE,1994.6,THIRDPARTY,Education
J65UQ38,2025-09-28,00:00:00,Tuition fee for Edusanjal,4747.35,0.0,COMPLETE,3703.2,THIRDPARTY,Education
58ITBIW,2025-10-28,00:00:00,Tuition fee for Edusanjal,3829.96,0.0,COMPLETE,5054.75,Linked Esewa Payment,Education
QCGRPFO,2025-10-26,00:00:00,Tuition fee for Edusanjal,2068.23,0.0,COMPLETE,8495.73,THIRDPARTY,Education
C2GU2LH,2025-09-29,00:00:00,Payment for eLearning Course,2961.47,0.0,COMPLETE,3897.1,THIRDPARTY,Education
E95IXBQ,2025-10-09,00:00:00,Tuition fee for Edusanjal,3172.81,0.0,COMPLETE,2301.65,THIRDPARTY,Education
IO2EFX0,2025-09-20,00:00:00,Tuition fee for Edusanjal,774.16,0.0,COMPLETE,3323.65,Linked Esewa Payment,Education
VJO5KR3,2025-10-23,00:00:00,Paid for Online Class - Kullabs,2729.85,0.0,COMPLETE,4440.78,THIRDPARTY,Education
7R5LXG3,2025-10-13,00:00:00,Paid for Online Class - Kullabs,3994.55,0.0,COMPLETE,6415.77,App,Education
9HHJ8QR,2025-09-12,00:00:00,Payment for eLearning Course,3504.08,0.0,COMPLETE,9946.88,App,Education
LS0XJHK,2025-09-10,00:00:00,Tuition fee for Edusanjal,2566.67,0.0,COMPLETE,6266.47,THIRDPARTY,Education
MSZX944,2025-10-14,00:00:00,Paid for Online Class - Kullabs,1001.36,0.0,COMPLETE,3722.66,THIRDPARTY,Education
NQAZEBS,2025-10-21,00:00:00,Tuition fee for Edusanjal,161.36,0.0,COMPLETE,1505.7,THIRDPARTY,Education
PBPQBD3,2025-09-26,00:00:00,Payment for eLearning Course,2549.2,0.0,COMPLETE,6307.88,App,Education
X566XAB,2025-09-30,00:00:00,Tuition fee for Edusanjal,238.16,0.0,COMPLETE,6333.55,THIRDPARTY,Education
HBQH563,2025-10-19,00:00:00,Tuition fee for Edusanjal,3303.47,0.0,COMPLETE,2332.39,App,Education
RPJXHML,2025-10-26,00:00:00,Paid for Online Class - Kullabs,3636.25,0.0,COMPLETE,7902.81,App,Education
QGJR2ZJ,2025-09-21,00:00:00,Tuition fee for Edusanjal,495.19,0.0,COMPLETE,5810.87,Linked Esewa Payment,Education
JDQHMSG,2025-09-21,00:00:00,Paid for Online Class - Kullabs,1638.45,0.0,COMPLETE,5924.98,Linked Esewa Payment,Education
RQO6O88,2025-09-21,00:00:00,Tuition fee for Edusanjal,659.53,0.0,COMPLETE,5217.13,Linked Esewa Payment,Education
S2QE2VY,2025-10-13,00:00:00,Tuition fee for Edusanjal,488.05,0.0,COMPLETE,6778.57,THIRDPARTY,Education
NPCOIQG,2025-09-19,00:00:00,Tuition fee for Edusanjal,452.9,0.0,COMPLETE,6338.15,Linked Esewa Payment,Education
F3VN51I,2025-10-18,00:00:00,Tuition fee for Edusanjal,3321.75,0.0,COMPLETE,2266.56,App,Education
IG4BBJ2,2025-09-29,00:00:00,Payment for eLearning Course,4247.49,0.0,COMPLETE,9869.65,Linked Esewa Payment,Education
ZVQ1MKQ,2025-10-16,00:00:00,Tuition fee for Edusanjal,2864.72,0.0,COMPLETE,5899.15,App,Education
GRD9A7Y,2025-09-14,00:00:00,Paid for Online Class - Kullabs,2814.54,0.0,COMPLETE,4340.94,App,Education
J2RFEIW,2025-10-13,00:00:00,Payment for eLearning Course,4196.54,0.0,COMPLETE,3835.15,App,Education
0Z6M8NP,2025-10-07,00:00:00,Payment for eLearning Course,899.34,0.0,COMPLETE,5362.59,THIRDPARTY,Education
DF6X4H2,2025-10-12,00:00:00,Payment for eLearning Course,3053.03,0.0,COMPLETE,1735.02,App,Education
8I1WAMK,2025-09-04,00:00:00,Paid for Online Class - Kullabs,2233.83,0.0,COMPLETE,9607.9,THIRDPARTY,Education
FKPDQLP,2025-10-20,00:00:00,Payment for eLearning Course,428.46,0.0,COMPLETE,6153.87,THIRDPARTY,Education
O9I7634,2025-10-29,00:00:00,Payment for eLearning Course,2325.09,0.0,COMPLETE,824.36,THIRDPARTY,Education
IO61KHR,2025-10-17,00:00:00,Paid for Online Class - Kullabs,2749.44,0.0,COMPLETE,6491.61,THIRDPARTY,Education
WACEXVY,2025-10-20,00:00:00,Tuition fee for Edusanjal,221.32,0.0,COMPLETE,6826.24,THIRDPARTY,Education
55QXGJX,2025-10-02,00:00:00,Paid for Online Class - Kullabs,99.48,0.0,COMPLETE,4247.93,Linked Esewa Payment,Education
MNV9UTE,2025-10-11,00:00:00,Payment for eLearning Course,2127.44,0.0,COMPLETE,8025.56,THIRDPARTY,Education
2JD0O38,2025-09-16,00:00:00,Paid for Online Class - Kullabs,4875.67,0.0,COMPLETE,8476.81,THIRDPARTY,Education
0FNF5W9,2025-10-11,00:00:00,Tuition fee for Edusanjal,3483.62,0.0,COMPLETE,1479.53,App,Education
YZO64NI,2025-10-27,00:00:00,Payment for eLearning Course,3292.21,0.0,COMPLETE,818.52,Linked Esewa Payment,Education
CCJGYGL,2025-09-29,00:00:00,Payment for eLearning Course,957.04,0.0,COMPLETE,5496.51,Linked Esewa Payment,Education
51ZRHSL,2025-10-24,00:00:00,Payment for eLearning Course,2508.81,0.0,COMPLETE,1382.47,THIRDPARTY,Education
6JNYX16,2025-09-07,00:00:00,Tuition fee for Edusanjal,4900.27,0.0,COMPLETE,4670.62,THIRDPARTY,Education
ILD6AJG,2025-10-10,00:00:00,Payment for eLearning Course,1903.07,0.0,COMPLETE,4521.25,THIRDPARTY,Education
NR5RLNI,2025-10-31,00:00:00,Payment for eLearning Course,390.35,0.0,COMPLETE,6735.56,App,Education
Z3FW277,2025-10-22,00:00:00,Paid for Online Class - Kullabs,2909.5,0.0,COMPLETE,975.97,App,Education
KX6ES4A,2025-09-20,00:00:00,Tuition fee for Edusanjal,980.15,0.0,COMPLETE,9877.92,THIRDPARTY,Education
H3FCIPM,2025-09-13,00:00:00,Tuition fee for Edusanjal,332.92,0.0,COMPLETE,6244.35,THIRDPARTY,Education
FR2SIQ7,2025-09-09,00:00:00,Payment for eLearning Course,2695.16,0.0,COMPLETE,4274.66,Linked Esewa Payment,Education
VS6PR13,2025-10-13,00:00:00,Payment for eLearning Course,3056.53,0.0,COMPLETE,1455.37,App,Education
EEGSMTG,2025-09-17,00:00:00,Payment for eLearning Course,3527.42,0.0,COMPLETE,9108.97,App,Education
CIZKSAM,2025-10-20,00:00:00,Payment for eLearning Course,968.9,0.0,COMPLETE,5468.66,THIRDPARTY,Education
KBROA9U,2025-10-13,00:00:00,Tuition fee for Edusanjal,2069.55,0.0,COMPLETE,3395.48,Linked Esewa Payment,Education
JTAIIOD,2025-09-04,00:00:00,Paid for Online Class - Kullabs,637.37,0.0,COMPLETE,1076.38,App,Education
ID30IHD,2025-10-08,00:00:00,Paid for Online Class - Kullabs,1410.57,0.0,COMPLETE,735.28,Linked Esewa Payment,Education
TASHFA8,2025-10-27,00:00:00,Payment for eLearning Course,2926.79,0.0,COMPLETE,2669.22,THIRDPARTY,Education
HITLDOS,2025-09-07,00:00:00,Payment for eLearning Course,4892.82,0.0,COMPLETE,7794.87,App,Education
OHYDO95,2025-09-17,00:00:00,Payment for eLearning Course,2331.07,0.0,COMPLETE,4753.0,App,Education
4ZWC9XV,2025-10-17,00:00:00,Paid for Online Class - Kullabs,2278.21,0.0,COMPLETE,9682.76,App,Education
RLRABOS,2025-10-20,00:00:00,Tuition fee for Edusanjal,2957.56,0.0,COMPLETE,2968.85,App,Education
SFRHI95,2025-10-20,00:00:00,Payment for eLearning Course,2647.03,0.0,COMPLETE,1703.4,Linked Esewa Payment,Education
FDV37UP,2025-10-07,00:00:00,Payment for eLearning Course,1330.47,0.0,COMPLETE,7644.86,App,Education
4S1YAUH,2025-09-04,00:00:00,Payment for eLearning Course,1423.47,0.0,COMPLETE,3416.64,Linked Esewa Payment,Education
D9GXQ2Y,2025-09-24,00:00:00,Paid for Online Class - Kullabs,2929.26,0.0,COMPLETE,3704.03,App,Education
CAWZ43D,2025-09-21,00:00:00,Paid for Online Class - Kullabs,1403.59,0.0,COMPLETE,1527.81,Linked Esewa Payment,Education
DQJ6CZZ,2025-09-17,00:00:00,Paid for Online Class - Kullabs,2558.62,0.0,COMPLETE,4220.96,App,Education
V6XEZWI,2025-09-04,00:00:00,Paid for Online Class - Kullabs,4680.59,0.0,COMPLETE,8147.77,App,Education
Z0A12LZ,2025-09-03,00:00:00,Payment for eLearning Course,389.42,0.0,COMPLETE,7787.78,THIRDPARTY,Education
ER57KSW,2025-09-17,00:00:00,Paid for Online Class - Kullabs,3515.75,0.0,COMPLETE,1187.56,Linked Esewa Payment,Education
58BL7Z0,2025-10-18,00:00:00,Paid for Online Class - Kullabs,2090.39,0.0,COMPLETE,3355.05,App,Education
4RZ9KU2,2025-10-20,00:00:00,Payment for eLearning Course,1240.87,0.0,COMPLETE,7965.28,THIRDPARTY,Education
887XSP4,2025-10-27,00:00:00,Tuition fee for Edusanjal,1514.2,0.0,COMPLETE,8385.46,App,Education
4IH0Y4E,2025-09-23,00:00:00,Payment for eLearning Course,3787.23,0.0,COMPLETE,9435.99,App,Education
AVOT9DW,2025-09-28,00:00:00,Payment for eLearning Course,3003.58,0.0,COMPLETE,3852.43,App,Education
UG928MM,2025-09-26,00:00:00,Tuition fee for Edusanjal,4633.2,0.0,COMPLETE,9529.24,Linked Esewa Payment,Education
6X1FSIR,2025-10-05,00:00:00,Tuition fee for Edusanjal,1145.9,0.0,COMPLETE,8332.94,App,Education
LR3MBBS,2025-10-28,00:00:00,Tuition fee for Edusanjal,2205.05,0.0,COMPLETE,505.63,Linked Esewa Payment,Education
S8F3PSD,2025-10-22,00:00:00,Tuition fee for Edusanjal,1807.86,0.0,COMPLETE,7259.21,THIRDPARTY,Education
GOE3GRD,2025-09-26,00:00:00,Paid for Online Class - Kullabs,1440.88,0.0,COMPLETE,3491.26,App,Education
HFXMFF2,2025-09-28,00:00:00,Payment for eLearning Course,2656.15,0.0,COMPLETE,3710.4,THIRDPARTY,Education
XCMTX52,2025-09-03,00:00:00,Paid for Online Class - Kullabs,1913.98,0.0,COMPLETE,8656.83,App,Education
CKR7XKM,2025-10-23,00:00:00,Payment for eLearning Course,702.66,0.0,COMPLETE,3710.55,THIRDPARTY,Education
3QWMQXY,2025-09-29,00:00:00,Paid for Online Class - Kullabs,2260.79,0.0,COMPLETE,6659.09,THIRDPARTY,Education
985A0FU,2025-09-07,00:00:00,Paid for Online Class - Kullabs,1948.24,0.0,COMPLETE,9332.4,App,Education
I4SZ4HZ,2025-10-21,00:00:00,Payment for eLearning Course,1941.41,0.0,COMPLETE,5133.91,THIRDPARTY,Education
9LHLYPJ,2025-09-09,00:00:00,Tuition fee for Edusanjal,1032.62,0.0,COMPLETE,4691.9,Linked Esewa Payment,Education
W82RH9Z,2025-10-18,00:00:00,Payment for eLearning Course,259.31,0.0,COMPLETE,431.68,THIRDPARTY,Education
KH4LTXW,2025-09-28,00:00:00,Payment for eLearning Course,1255.43,0.0,COMPLETE,1141.41,App,Education
V0RWO4R,2025-10-25,00:00:00,Bought movie ticket QFX,1173.86,0.0,COMPLETE,8810.96,Linked Esewa Payment,Entertainment
48YBCZ5,2025-10-15,00:00:00,Recharge for Ncell SaReGaMa,2455.12,0.0,COMPLETE,2066.64,App,Entertainment
7MVGWMQ,2025-09-17,00:00:00,Recharge for Ncell SaReGaMa,4243.02,0.0,COMPLETE,6752.57,THIRDPARTY,Entertainment
BA94U1T,2025-10-04,00:00:00,Recharge for Ncell SaReGaMa,1822.26,0.0,COMPLETE,165.64,THIRDPARTY,Entertainment
1TUUX20,2025-10-25,00:00:00,Bought movie ticket QFX,2507.11,0.0,COMPLETE,126.77,THIRDPARTY,Entertainment
RPSMHNZ,2025-09-25,00:00:00,Paid for F1Soft Music Subscription,1025.08,0.0,COMPLETE,7550.13,THIRDPARTY,Entertainment
G68H48J,2025-10-25,00:00:00,Paid for F1Soft Music Subscription,4471.54,0.0,COMPLETE,7724.28,Linked Esewa Payment,Entertainment
K94UKX7,2025-09-18,00:00:00,Bought movie ticket QFX,4914.61,0.0,COMPLETE,3686.44,THIRDPARTY,Entertainment
HDHY67R,2025-10-16,00:00:00,Paid for F1Soft Music Subscription,1925.04,0.0,COMPLETE,9787.39,THIRDPARTY,Entertainment
9IIEAOC,2025-09-25,00:00:00,Paid for F1Soft Music Subscription,3602.33,0.0,COMPLETE,9184.32,THIRDPARTY,Entertainment
1TJI1WZ,2025-09-21,00:00:00,Paid for F1Soft Music Subscription,1352.58,0.0,COMPLETE,134.28,THIRDPARTY,Entertainment
K0X02OI,2025-09-20,00:00:00,Paid for F1Soft Music Subscription,467.73,0.0,COMPLETE,5991.28,Linked Esewa Payment,Entertainment
PJBG1S5,2025-10-15,00:00:00,Recharge for Ncell SaReGaMa,3995.83,0.0,COMPLETE,4251.25,THIRDPARTY,Entertainment
GQQIBT3,2025-10-11,00:00:00,Bought movie ticket QFX,4596.62,0.0,COMPLETE,9646.67,THIRDPARTY,Entertainment
LA2623S,2025-10-31,00:00:00,Paid for F1Soft Music Subscription,2129.2,0.0,COMPLETE,5601.94,Linked Esewa Payment,Entertainment
GO7ORDW,2025-10-05,00:00:00,Recharge for Ncell SaReGaMa,4178.37,0.0,COMPLETE,8682.99,THIRDPARTY,Entertainment
PGP1OEV,2025-09-18,00:00:00,Recharge for Ncell SaReGaMa,2131.74,0.0,COMPLETE,6432.01,Linked Esewa Payment,Entertainment
2T7VQD4,2025-09-17,00:00:00,Bought movie ticket QFX,4183.93,0.0,COMPLETE,9998.07,THIRDPARTY,Entertainment
0SJJR6O,2025-10-05,00:00:00,Recharge for Ncell SaReGaMa,3439.68,0.0,COMPLETE,3876.43,THIRDPARTY,Entertainment
HD4AFJR,2025-09-27,00:00:00,Paid for F1Soft Music Subscription,4438.48,0.0,COMPLETE,8917.09,Linked Esewa Payment,Entertainment
HO49CLA,2025-10-07,00:00:00,Paid for F1Soft Music Subscription,2764.48,0.0,COMPLETE,8140.49,THIRDPARTY,Entertainment
VNKJEXG,2025-09-19,00:00:00,Recharge for Ncell SaReGaMa,4276.37,0.0,COMPLETE,9490.68,App,Entertainment
C0Z5HUD,2025-09-10,00:00:00,Paid for F1Soft Music Subscription,4483.68,0.0,COMPLETE,3397.47,Linked Esewa Payment,Entertainment
BCCF530,2025-10-16,00:00:00,Paid for F1Soft Music Subscription,152.43,0.0,COMPLETE,6893.34,Linked Esewa Payment,Entertainment
8OCYGVW,2025-10-01,00:00:00,Bought movie ticket QFX,3936.33,0.0,COMPLETE,8658.71,THIRDPARTY,Entertainment
ZSQS989,2025-10-07,00:00:00,Recharge for Ncell SaReGaMa,4716.18,0.0,COMPLETE,8091.01,App,Entertainment
8LAW3R6,2025-09-13,00:00:00,Paid for F1Soft Music Subscription,4035.85,0.0,COMPLETE,6046.66,Linked Esewa Payment,Entertainment
OC55Q4U,2025-10-03,00:00:00,Recharge for Ncell SaReGaMa,4275.76,0.0,COMPLETE,1133.19,Linked Esewa Payment,Entertainment
FO7INEG,2025-09-16,00:00:00,Paid for F1Soft Music Subscription,2205.23,0.0,COMPLETE,5168.01,App,Entertainment
8MB4JIS,2025-09-12,00:00:00,Paid for F1Soft Music Subscription,4841.65,0.0,COMPLETE,2415.57,THIRDPARTY,Entertainment
2LLPGZD,2025-09-30,00:00:00,Recharge for Ncell SaReGaMa,2533.11,0.0,COMPLETE,781.46,Linked Esewa Payment,Entertainment
O3G76MH,2025-09-08,00:00:00,Paid for F1Soft Music Subscription,617.21,0.0,COMPLETE,2397.81,THIRDPARTY,Entertainment
ILKBHR4,2025-10-04,00:00:00,Bought movie ticket QFX,2788.5,0.0,COMPLETE,9249.22,THIRDPARTY,Entertainment
DS475HF,2025-09-28,00:00:00,Bought movie ticket QFX,2579.14,0.0,COMPLETE,8106.72,THIRDPARTY,Entertainment
PCTO9HT,2025-10-13,00:00:00,Bought movie ticket QFX,546.35,0.0,COMPLETE,9854.76,App,Entertainment
